Ańo,Cuatrimestre,Tipo,Total,Sin indicadores de violencia de género y/o violencia doméstica,Con indicadores de violencia de género y/o violencia doméstica,,,
2019,1,Casos penales ingresados,"27,947","21,940","6,007",,,
2019,2,Casos penales ingresados,"28,786","23,411","5,375",,,
2019,3,Casos penales ingresados,"31,836","25,277","6,559",,,
2020,1,Casos penales ingresados,"20,403","15,255","5,148",,,
2019,1,Casos contravencionales ingresados,"20,698","18,029","2,669",,,
2019,2,Casos contravencionales ingresados,"23,316","20,773","2,543",,,
2019,3,Casos contravencionales ingresados,"25,558","22,154","3,404",,,
2020,1,Casos contravencionales ingresados,"18,166","15,255","2,911",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
