nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
34 Business & Economics Society International Conference B&ESI,CONGRESOS Y CONVENCIONES,2019-01-04,2019-01-07
EFICA 100 Otoño/Invierno,FERIAS Y EXPOSICIONES,2019-01-06,2019-01-08
Seminario de Oratoria Neuro – Experiencial y Presentaciones Ejecutivas,CONGRESOS Y CONVENCIONES,2019-01-19,2019-01-19
Encuentro de Mujeres Emprendedoras. Bellas y Poderosas,CONGRESOS Y CONVENCIONES,2019-01-19,2019-01-19
XIX Asamblea General de CIDALC Conferencia Interprovincial de los Dominicos de América Latina y El Caribe (COMPARTIRAN 1 DIA Y MEDIO CON LA Asamblea de CODALC),CONGRESOS Y CONVENCIONES,2019-01-27,2019-02-02
XVI General Assembly of CODALC 2019 (COMPARTEN 1 DIA Y MEDIO CON Asamblea de CIDALC),CONGRESOS Y CONVENCIONES,2019-01-31,2019-02-09
10º Congreso Argentino de Ilusionismo,CONGRESOS Y CONVENCIONES,2019-02-07,2019-02-10
1º Encuentro Latinoamericano sobre Nuevas Esclavitudes,CONGRESOS Y CONVENCIONES,2019-02-08,2019-02-11
Simposio Análisis Cuantitativo de Datos Lingüísticos,CONGRESOS Y CONVENCIONES,2019-02-09,2019-02-09
16ª Convención Nacional del Deporte,CONGRESOS Y CONVENCIONES,2019-02-12,2019-02-12
MABYN - Expo de Moda Infantil,FERIAS Y EXPOSICIONES,2019-02-16,2019-02-17
Congreso Argentino-Germano de Derecho Económico y Empresarial,CONGRESOS Y CONVENCIONES,2019-02-20,2019-02-22
Congreso Internacional El Poder Educativo del Ajedrez en el Siglo XXI,CONGRESOS Y CONVENCIONES,2019-02-21,2019-02-22
"2º Encuentro de Evangelización, Enseñanza Religiosa y Catequesis",CONGRESOS Y CONVENCIONES,2019-02-21,2019-02-22
6º Congreso Tendencias Escénicas,CONGRESOS Y CONVENCIONES,2019-02-26,2019-02-27
ISMA-OSAC Latin America Regional Conference 28th ISMA-OSAC joint conference,CONGRESOS Y CONVENCIONES,2019-03-03,2019-03-05
BAFWEEK 2019,FERIAS Y EXPOSICIONES,2019-03-06,2019-03-08
15º Mandinga Tattoo Show,FERIAS Y EXPOSICIONES,2019-03-08,2019-03-10
2º Encuentro Internacional de la Federación Latinoamericana de Distrofia Muscular,CONGRESOS Y CONVENCIONES,2019-03-08,2019-03-09
Encuentro de Delegados de la Pastoral Social,CONGRESOS Y CONVENCIONES,2019-03-08,2019-03-09
Jornada Nuevo Diagnóstico en Ortodoncia,CONGRESOS Y CONVENCIONES,2019-03-08,2019-03-08
Cumbre Vivir la Biblia 2019,CONGRESOS Y CONVENCIONES,2019-03-09,2019-03-09
EAC & AP 2019 - Encuentro de Catequistas y Agentes de Pastoral,CONGRESOS Y CONVENCIONES,2019-03-09,2019-03-09
21º Congreso Internacional de Tango Argentino CITA 2019,CONGRESOS Y CONVENCIONES,2019-03-10,2019-03-16
7th ELAEE Conferencia ALADEE / IAEE 7mo Encuentro Latinoamericano de Economía de la Energía,CONGRESOS Y CONVENCIONES,2019-03-10,2019-03-12
Jornadas de Investigación del ILH-,CONGRESOS Y CONVENCIONES,2019-03-11,2019-03-15
5° Simposio de Dermocosmiatría Antiage,CONGRESOS Y CONVENCIONES,2019-03-11,2019-03-11
32º Congreso Argentino de Química 2019,CONGRESOS Y CONVENCIONES,2019-03-12,2019-03-15
Exposicion de la moda y de las manufacturas del cuero y afines de la Republica Argentina  CEMCA,FERIAS Y EXPOSICIONES,2019-03-13,2019-03-16
Cafira Innova Otoño 2019,FERIAS Y EXPOSICIONES,2019-03-13,2019-03-16
Presentes 2019 Otoño 38ª Edición,FERIAS Y EXPOSICIONES,2019-03-13,2019-03-16
Conferencia “Solidaridad Democrática en América Latina”,CONGRESOS Y CONVENCIONES,2019-03-13,2019-03-15
Conference “Democracy in Latin America: threats and opportunities”   en el marco de la Conferencia de Solidaridad Democrática en América Latina,CONGRESOS Y CONVENCIONES,2019-03-13,2019-03-15
Baires joya otoño invierno,FERIAS Y EXPOSICIONES,2019-03-13,2019-03-15
Energyear,CONGRESOS Y CONVENCIONES,2019-03-13,2019-03-14
I Workshop Internacional de “Economía Circular e Innovación Social desde el Sur Global”,CONGRESOS Y CONVENCIONES,2019-03-13,2019-03-14
"29ª Jornada de Actualizaciones Terapéuticas, Dermatológicas y Estéticas",CONGRESOS Y CONVENCIONES,2019-03-14,2019-03-17
5º Expo Candy Bar,FERIAS Y EXPOSICIONES,2019-03-14,2019-03-16
Taller Stocks y Reposiciones: ¿Cómo calcularlos en mercados de inflación?,CONGRESOS Y CONVENCIONES,2019-03-14,2019-03-14
WIDS Bs As 2019 Global Women in Data Science Conference Conferencia Global de Mujeres en Ciencia de Datos,CONGRESOS Y CONVENCIONES,2019-03-15,2019-03-15
Jornadas de Injuria Renal Aguda,CONGRESOS Y CONVENCIONES,2019-03-15,2019-03-15
Seminario de Oratoria Neuro – Experiencial y Presentaciones Ejecutivas,CONGRESOS Y CONVENCIONES,2019-03-16,2019-03-16
3ª Jornada de Actualización Educativa,CONGRESOS Y CONVENCIONES,2019-03-16,2019-03-16
Jornada Hernia Inguinal Laparoscópica,CONGRESOS Y CONVENCIONES,2019-03-16,2019-03-16
Congreso Internacional Educación Integral Base de la Excelencia Educativa y la Paz,CONGRESOS Y CONVENCIONES,2019-03-18,2019-03-22
"Encuentro de Cultura, Arte y Arquitectura Indígena de las Américas",CONGRESOS Y CONVENCIONES,2019-03-18,2019-03-22
WS-LATC 2019    V Workshop Latinoamericano de Transplante Capilar Workshop de FUE (Folicullar Unit Excision),CONGRESOS Y CONVENCIONES,2019-03-18,2019-03-20
16º Encuentro Sur Global,CONGRESOS Y CONVENCIONES,2019-03-18,2019-03-19
Second High Level United Nations Conference on South-South Cooperation (BAPA + 40 Conference),CONGRESOS Y CONVENCIONES,2019-03-20,2019-03-22
Congreso ALADyR Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-03-20,2019-03-21
Money Forbes Summit,CONGRESOS Y CONVENCIONES,2019-03-20,2019-03-20
Expo Golosinas,FERIAS Y EXPOSICIONES,2019-03-21,2019-03-22
Jornadas de Debate y Reflexión del Consumidor,CONGRESOS Y CONVENCIONES,2019-03-21,2019-03-21
9º Congreso Sudamericano de Prevención de Lavado de Activos y Financiamiento del Terrorismo,CONGRESOS Y CONVENCIONES,2019-03-21,2019-03-21
CI19: Conferencia de Comercio Internacional,CONGRESOS Y CONVENCIONES,2019-03-21,2019-03-21
7° Simposio Mercado de Capitales y Finanzas Corporativas,CONGRESOS Y CONVENCIONES,2019-03-21,2019-03-21
3rd Charcot Latinamerican Meeting,CONGRESOS Y CONVENCIONES,2019-03-22,2019-03-23
Jornadas de Actualización Medestética,CONGRESOS Y CONVENCIONES,2019-03-22,2019-03-23
Arduino Day 2019,CONGRESOS Y CONVENCIONES,2019-03-23,2019-03-23
3º APIBA Business English Annual Conference,CONGRESOS Y CONVENCIONES,2019-03-23,2019-03-23
Z Day 2019 Buenos Aires,CONGRESOS Y CONVENCIONES,2019-03-23,2019-03-23
"9ª Jornada de Neurociencias, Educación e Inteligencia Emocional",CONGRESOS Y CONVENCIONES,2019-03-23,2019-03-23
1ª Reunión de 2019 de COFESA,CONGRESOS Y CONVENCIONES,2019-03-25,2019-03-25
1º Simposio Cancer de Cólon 2019,CONGRESOS Y CONVENCIONES,2019-03-25,2019-03-25
Global Medical Engineering Physics Exchanges (GMEPE) and Pan American Health Care Exchanges (PAHCE) Conference 2019,CONGRESOS Y CONVENCIONES,2019-03-26,2019-03-31
Seminario Antimafia Italo-Argentino,CONGRESOS Y CONVENCIONES,2019-03-26,2019-03-29
Jornadas Enfoque Ecosistémico en la Pesca,CONGRESOS Y CONVENCIONES,2019-03-26,2019-03-27
Jornada Datos Abiertos de Justicia,CONGRESOS Y CONVENCIONES,2019-03-26,2019-03-26
Jornadas de Fundamentos y Aplicaciones de la Interdisciplina,CONGRESOS Y CONVENCIONES,2019-03-27,2019-03-29
Coloquio Desigualdades Antiguas,CONGRESOS Y CONVENCIONES,2019-03-27,2019-03-29
7º Coloquio del PEFSCEA,CONGRESOS Y CONVENCIONES,2019-03-27,2019-03-29
Taller de Gestión de Activos de Información,CONGRESOS Y CONVENCIONES,2019-03-27,2019-03-28
Insurtech Latam Forum,CONGRESOS Y CONVENCIONES,2019-03-27,2019-03-27
Jornada Día Mundial de la Tuberculosis,CONGRESOS Y CONVENCIONES,2019-03-27,2019-03-27
Jornadas Internacionales Desafíos Actuales en la Investigación Social sobre Italia en la Argentina,CONGRESOS Y CONVENCIONES,2019-03-28,2019-03-29
International Forum of Accounting Standard Setters (IFASS),CONGRESOS Y CONVENCIONES,2019-03-28,2019-03-29
11º Encuentro de Técnicos,CONGRESOS Y CONVENCIONES,2019-03-28,2019-03-29
Jornada Alianzas para la Localización de la Agenda 2030,CONGRESOS Y CONVENCIONES,2019-03-28,2019-03-28
4º Foro Argentino de Transformación Digital,CONGRESOS Y CONVENCIONES,2019-03-28,2019-03-28
Nuestros Perros 2019,FERIAS Y EXPOSICIONES,2019-03-29,2019-04-02
15ª Exposición Internacional Equina y de la Industria Hípica Nuestros Caballos.,FERIAS Y EXPOSICIONES,2019-03-29,2019-04-02
Buenos Aires International Dog Show,FERIAS Y EXPOSICIONES,2019-03-29,2019-04-01
Congreso Equino 2019,CONGRESOS Y CONVENCIONES,2019-03-29,2019-03-30
Mercado Fitness Expo y Conferencias,FERIAS Y EXPOSICIONES,2019-03-29,2019-03-30
Jornada de actualización en Enfermedad de Chagas y Sífilis,CONGRESOS Y CONVENCIONES,2019-03-29,2019-03-29
XII  Argentina Quality Summit LAQI,CONGRESOS Y CONVENCIONES,2019-03-29,2019-03-29
1º Foro de Infarto 2019,CONGRESOS Y CONVENCIONES,2019-03-29,2019-03-29
Jornadas del Manga y el Anime,CONGRESOS Y CONVENCIONES,2019-03-30,2019-03-31
WIDA International Symposium,CONGRESOS Y CONVENCIONES,2019-03-30,2019-03-31
Simposio Apertura Reunión conjunta con la Asociación de Alergia e Inmunología Clínica,CONGRESOS Y CONVENCIONES,2019-03-30,2019-03-30
2do Congreso Sudamericano de Extensiones de Pestañas y Concurso,CONGRESOS Y CONVENCIONES,2019-03-30,2019-03-30
12ª Jornada Internacional de Equinoterapia y Psicoterapia Asistida con Equinos,CONGRESOS Y CONVENCIONES,2019-04-01,2019-04-02
Talents Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-04-02,2019-04-06
SACIL 2019 3º Congreso Internacional de Cirugía Ginecológica  IX Congreso Internacional Sociedad Argentina de Cirugía Laparoscópica,CONGRESOS Y CONVENCIONES,2019-04-03,2019-04-06
3rd UCLG Culture Summit  3ra Cumbre de la Cultura CGLU  III Cumbre Internacional de Ciudades Culturales,CONGRESOS Y CONVENCIONES,2019-04-03,2019-04-05
16º Workshop CAIDBA,CONGRESOS Y CONVENCIONES,2019-04-04,2019-04-06
Jornada de Intercambio Literatura Española,CONGRESOS Y CONVENCIONES,2019-04-04,2019-04-04
II Simposio de Educación Global,CONGRESOS Y CONVENCIONES,2019-04-04,2019-04-04
Congreso Internacional de Fotografía Internacional - Smile 2019,CONGRESOS Y CONVENCIONES,2019-04-05,2019-04-07
Executive MBA Workshops 2018,CONGRESOS Y CONVENCIONES,2019-04-05,2019-04-06
Nano Mutek 2019,CONGRESOS Y CONVENCIONES,2019-04-05,2019-04-06
Seminario Internacional de Anestesiología Pediátrica - SIAP 2019,CONGRESOS Y CONVENCIONES,2019-04-05,2019-04-06
Convención Latinoamericana de IGFA,CONGRESOS Y CONVENCIONES,2019-04-06,2019-04-06
Jornada El español y la Ciencia,CONGRESOS Y CONVENCIONES,2019-04-06,2019-04-06
20ª  Expo Cupcakes & Reposteria,FERIAS Y EXPOSICIONES,2019-04-06,2019-04-06
1º World Congress of Pediatric ENT in the 21st Century  1º Congreso Mundial de Otorrinolaringologia Pediátrico,CONGRESOS Y CONVENCIONES,2019-04-07,2019-04-10
Jornadas RN Actualización en Prótesis Oculares 2019,CONGRESOS Y CONVENCIONES,2019-04-07,2019-04-07
Simposio Internacional Warburg 2019,CONGRESOS Y CONVENCIONES,2019-04-08,2019-04-13
2nd C3S Data Rescue Service Capacity Building Workshop (evento previo al ACRE Meeting y que sigue su rotacion),CONGRESOS Y CONVENCIONES,2019-04-08,2019-04-10
"Primer Encuentro Latinoamericano de Resolución de Conflictos 4.0 ""Una disrupción ineludible""",CONGRESOS Y CONVENCIONES,2019-04-08,2019-04-09
Mining Investment South America Conference & Exhibition,CONGRESOS Y CONVENCIONES,2019-04-08,2019-04-09
FOSS4G 2019 -  Conferencia de Geomática Libre,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-12
9º Congreso Internacional de Ciencias Económicas,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-11
4ª Jornadas de Urología del Hospital Garrahan,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-11
10º Salón de maquinaria para la confeccion- CONFEMAQ . 9º Salón Internacional de Maquinaria y EMITEX,FERIAS Y EXPOSICIONES,2019-04-09,2019-04-11
World Free Zone Summit Buenos Aires 2019    World FZO Summit BA 2019  WFZO Regional Office LATAM SOUTH,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-10
Argentina Shale Gas and Oil Summit 2019,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-10
"2ª Jornadas de Estudios Sociales Sobre Delito, Violencia y Policía",CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-10
8º Simposio de Telecomunicaciones,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-09
1ª Jornada de Ciberseguridad,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-09
Jornada Pre-AGA 2019,CONGRESOS Y CONVENCIONES,2019-04-09,2019-04-09
SPL 2019 X Southern Programmable Logic Conference,CONGRESOS Y CONVENCIONES,2019-04-10,2019-04-12
10º Congreso Argentino de Tecnología Espacial,CONGRESOS Y CONVENCIONES,2019-04-10,2019-04-12
ExpoEFI 2019,FERIAS Y EXPOSICIONES,2019-04-10,2019-04-11
1º Simposio Milar,CONGRESOS Y CONVENCIONES,2019-04-10,2019-04-10
Seminario ZMA Argentina 2019,CONGRESOS Y CONVENCIONES,2019-04-10,2019-04-10
11º Encuentro Cedol,CONGRESOS Y CONVENCIONES,2019-04-10,2019-04-10
ArteBA 2019,FERIAS Y EXPOSICIONES,2019-04-11,2019-04-14
13º Expohobby,FERIAS Y EXPOSICIONES,2019-04-11,2019-04-14
Jornadas Internacionales Atención Integral y Centrada en la Persona,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-13
2º Simposio de Ventilación no Invasiva,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-13
Feria infantil del libro y la tecnología T-Leo Veo,FERIAS Y EXPOSICIONES,2019-04-11,2019-04-13
Nuclear Industry Summit Latin America NISLA,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
12th ACRE Meeting--(que se hace a continuación de 2nd C3S Data Rescue Service Capacity Building Workshop y siguen la misma rotación),CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Jornadas Estadounidenses y Latinas de Hematología,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Jornadas Nacionales Cannabis Medicina Legal y Defensa Legal,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
6º Simposio Internacional Del sur al mundo en 2030,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
10º Simposio Más Allá de las Fronteras del Intervencionismo Cardiovascular,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
17º Congreso de la Asociación Argentina de Traumatología del Deporte,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Simposio Internacional Avances en Urología 2019,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Jornada Art Nouveau y Art Deco,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-11
6ª Jornada de Medicina Narrativa,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-11
"15ª Jornada de Trabajo Ingeniería, IT & Sistemas",CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-11
Encuentro Argentino - Venezolano de Ciencias Económicas,CONGRESOS Y CONVENCIONES,2019-04-12,2019-04-12
12ª Conferencia Internacional sobre avances en Epoc,CONGRESOS Y CONVENCIONES,2019-04-12,2019-04-12
Expo Gatos 2019,FERIAS Y EXPOSICIONES,2019-04-13,2019-04-14
NSConf,CONGRESOS Y CONVENCIONES,2019-04-13,2019-04-13
2ª Jornadas de Traducción Especializada,CONGRESOS Y CONVENCIONES,2019-04-13,2019-04-13
29º Congreso Argentino de Medicina Estética,CONGRESOS Y CONVENCIONES,2019-04-15,2019-04-16
Simposio Multidisciplinario de Cáncer de Mama,CONGRESOS Y CONVENCIONES,2019-04-15,2019-04-15
Feria de Estudios en el Exterior - Eduexpos,FERIAS Y EXPOSICIONES,2019-04-15,2019-04-15
Seminario Internacional de Logística para eCommerce,CONGRESOS Y CONVENCIONES,2019-04-16,2019-04-17
Workshop – Gestión de Riesgos de TI,CONGRESOS Y CONVENCIONES,2019-04-17,2019-04-19
12° Seminario Pymes Buenos Aires,CONGRESOS Y CONVENCIONES,2019-04-17,2019-04-17
2º Congreso Universitario de Formación en Traducción e Interpretación,CONGRESOS Y CONVENCIONES,2019-04-22,2019-04-24
Jornadas Profesionales para Ilustradores,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-26
Jornada de Derecho de Autor en el Mundo Editorial,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-26
14ª Jornadas de Filosofía Medieval,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-26
4ª Jornadas de Edición Universitaria,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-25
MindCare 2019 - 9th EAI International Conference on Pervasive Computing Paradigms for Mental Health  9° Congreso Internacional Nuevas Tecnologías en Salud Mental,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-24
1ª Jornadas de Formación Docente,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-24
Jornada Laboratorio de la Agenda Emergente,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-23
Segurinfo Argentina 2019,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-23
5ª Jornadas de Traducción en el Ámbito Editorial,CONGRESOS Y CONVENCIONES,2019-04-24,2019-04-26
"8º Congreso Latinoamericano IFSOLAC  8º Congreso Latinoamericano de Cirugía de la Federación Internacional de Cirugía de la Obesidad  8 Latin American Congress of the International Federation of Surgery of Obesity IFSO   (IFSOLAC Sociedad Arg de Cirugía de la Obesidad, Enfermedad Metabólica y otra relacionadas con la obesidad. Cirugía bariátrica)",CONGRESOS Y CONVENCIONES,2019-04-24,2019-04-26
ExpoEventos 2019,FERIAS Y EXPOSICIONES,2019-04-24,2019-04-26
Conferencia Usuarios GIS 2019,CONGRESOS Y CONVENCIONES,2019-04-24,2019-04-25
Smart City Congreso y Expo Buenos Aires,FERIAS Y EXPOSICIONES,2019-04-24,2019-04-25
45ª Feria Internacional del Libro,FERIAS Y EXPOSICIONES,2019-04-25,2019-05-13
Conferencia Internacional sobre el Ritmo en el Arte 2019,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-27
Jornada AAPPG 2019,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-27
4ª Jornadas Internacionales de Medicina Materno-Fetal y Nuevas Tecnologías,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-27
I Encuentro de ILERA de las Américas,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-26
I Conferencia Internacional sobre el Ritmo en el Arte 2019,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-26
11º Curso Internacional de Otoño AGA-SAGE,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-26
Foro Ambiental sobre Energías Limpias,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-25
3º Foro Internacional de Expertos en Turismo de Reuniones,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-25
5° Encuentro RSEvial,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-25
Jornadas Internacionales de Educación,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-27
2º Simposio Argentino de Cardio-Oncología,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-27
Jornada de Ciberseguridad,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
Simposio Arte y cultura en los Antiguos Pueblos de América,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
1º Congreso Latinoamericano de Periodismo Móvil,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
Encuentro Latinoamericano de la AIAF Asociación Internacional de Abogados del Fútbol,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
2° Simposio Internacional de Actualización en Patología Hipofisaria,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
5º Congreso Internacional de Profesionales de Spa y Bienestar,CONGRESOS Y CONVENCIONES,2019-04-28,2019-04-30
ICBA SUMMIT Latam CTO,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-30
Foro Internacional de Enseñanza de Ciencias y Tecnologías,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-30
2ª Jornadas de Intercambio y Reflexión sobre Didáctica del Lenguaje,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-30
3ª Jornada sobre Genocidio Armenio y Shoá,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-29
Diálogo de Escritores Argentinos,CONGRESOS Y CONVENCIONES,2019-05-01,2019-05-03
IX Asamblea Nacional General ANG IFMSA,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-05
ANTEA 11º Convención LATAM,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-03
5º Congreso de la Asociación Argentina de Ortopedia Oncológia,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-03
2ª Jornadas de Residentes y Concurrentes del Hospital Pirovano,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-02
24º Encuentro Internacional de Narración Oral,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-05
12° Encuentro Internacional de Educación Infantil OMEP,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-05
Jornada COWAP Latinoamérica,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-04
III Encuentro Latinoamericano de Dermatología Pediátrica,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-03
Workshop o Internacional de Lípidos en Medicina,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-03
Jornada de Fibrosis Pulmonar Idiopática,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-03
XXXVII RADLA Reunión Anual de Dermatólogos Latinoamericanos,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-07
Simposio de la Sociedad Argentina de Periodontología,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-04
