id,nombre,tipo,materiales,horario,observacio,direccion,barrio,comuna,geometry
6,Estación Lugano,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Murguiondo 4121,Villa Lugano,Comuna 8,POINT (-58.47612114749537 -34.67666632437466)
11,Parque Las Heras,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Diaz, Cnel. Av. 2437",Recoleta,Comuna 2,POINT (-58.40676659357997 -34.58448273224166)
14,Parque Saavedra,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Paroissien y Perez, Roque",Saavedra,Comuna 12,POINT (-58.48205963517308 -34.55178375679957)
17,Parque Santojanni,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"De La Torre, Lisandro y Acassuso",Liniers,Comuna 9,POINT (-58.51589050401845 -34.65042251639289)
24,Plaza Almagro,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Bulnes y Sarmiento,Almagro,Comuna 5,POINT (-58.418357794620604 -34.60527986109268)
30,Plaza Benito Nazar,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Antezana y Olaya,Villa Crespo,Comuna 15,POINT (-58.444662659712804 -34.60489839654926)
35,Plaza Colombia,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Cartón - Metal - Orgánicos - Papel - Pilas - Plástico - RAEES - Telgopor - Tetra-brik - Vidrio,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Brandsen y Montes De Oca, Manuel Av.",Barracas,Comuna 4,POINT (-58.37444211428307 -34.63786971772978)
38,Plaza de La Misericordia,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Bilbao, Francisco y Lautaro",Flores,Comuna 7,POINT (-58.454993640235365 -34.63288795950816)
41,Plaza Don Bosco,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Lope De Vega Av. y Gonzalez, Elpidio",Monte Castro,Comuna 10,POINT (-58.508309341820365 -34.62682935871767)
43,Plaza Echeverría,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Rivera, Pedro I., Dr. y Bauness",Villa Urquiza,Comuna 12,POINT (-58.48955761728068 -34.57272105189643)
48,Plaza Irlanda,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Alvarez, Donato, Tte. Gral. y Gaona Av.",Caballito,Comuna 6,POINT (-58.45942942302662 -34.61387671985942)
53,Plaza Manuel Belgrano,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Echeverria y Cuba,Belgrano,Comuna 13,POINT (-58.453948087391126 -34.56184758803644)
56,Plaza Mariano Boedo,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Sanchez De Loria y Estados Unidos,Boedo,Comuna 5,POINT (-58.41244151193153 -34.621881152120245)
59,Plaza Monseñor De Andrea,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Cabrera, Jose A. y Anchorena, Tomas Manuel De, Dr.",Recoleta,Comuna 2,POINT (-58.40756368859171 -34.59698661481715)
65,Plaza Rivadavia,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,"Rivadavia Av. y Balcarce, Florencio",Caballito,Comuna 6,POINT (-58.434739712462445 -34.61753532697676)
68,Plaza Rosario Vera Peñalozza,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,San Juan Av. y Chacabuco,San Telmo,Comuna 1,POINT (-58.375652111778244 -34.62200078776617)
73,Plaza Velez Sarsfield,Con Atención,Aceite vegetal usado (en botellas cerradas) - Bolsas de comida para perro - Botella de AMOR - Cápsulas de café - Pilas - RAEES,Horario de atención Martes a Viernes de 14 a 19 y Sábados de 10 a 18 h.,Aceite usado en botella de plástico cerrada y en frio. Fuera de ese horario pueden dejar su reciclables en las bocas de recepción que funcionan las 24 hs.,Chivilcoy y Bogota,Floresta,Comuna 10,POINT (-58.48320021310982 -34.63055777272983)
